Time | ID | Traffic Light | Group | Vehicles
09:14:46 | 447 | Зеленый | 1 | 2
09:18:46 | 1753 | Зеленый | 3 | 1
09:18:50 | 1846 | Зеленый | 3 | 1
09:18:52 | 1867 | Зеленый | 3 | 1
09:18:52 | 1866 | Зеленый | 3 | 1
09:18:52 | 1870 | Зеленый | 2 | 1
09:18:52 | 1871 | Зеленый | 4 | 1
09:18:53 | 1880 | Зеленый | 3 | 1
09:18:53 | 1887 | Зеленый | 3 | 1
09:22:13 | 3094 | Зеленый | 2 | 1
09:22:17 | 2905 | Зеленый | 2 | 1
09:25:09 | 4585 | Красный | 4 | 2
09:25:15 | 4652 | Красный | 6 | 2
09:25:25 | 4650 | Красный | 4 | 1
09:25:26 | 4777 | Красный | 6 | 0
09:25:26 | 4776 | Красный | 7 | 0
09:25:27 | 4779 | Красный | 6 | 0
09:25:27 | 4783 | Красный | 6 | 0
09:25:31 | 4772 | Красный | 7 | 0
09:25:31 | 4818 | Красный | 8 | 0
09:25:32 | 4827 | Красный | 7 | 0
09:25:33 | 4834 | Красный | 8 | 1
09:25:33 | 4835 | Красный | 9 | 1
09:25:33 | 4768 | Красный | 9 | 1
09:25:35 | 4850 | Красный | 9 | 0
09:25:36 | 4844 | Красный | 8 | 0
09:25:37 | 4866 | Красный | 8 | 1
09:26:16 | 4926 | Зеленый | 2 | 0
09:26:17 | 5101 | Зеленый | 2 | 0
09:26:22 | 5300 | Зеленый | 3 | 0
09:26:22 | 5302 | Зеленый | 3 | 0
09:26:23 | 5311 | Зеленый | 2 | 0
09:27:55 | 6248 | Зеленый | 3 | 0
09:27:55 | 6176 | Зеленый | 3 | 0
09:27:55 | 6296 | Зеленый | 4 | 0
09:27:56 | 6299 | Зеленый | 4 | 0
09:27:56 | 6306 | Зеленый | 4 | 0
09:30:09 | 7292 | Зеленый | 2 | 0
09:30:13 | 7378 | Зеленый | 2 | 1
09:30:14 | 7382 | Зеленый | 2 | 1
09:31:07 | 7694 | Зеленый | 3 | 1
09:31:16 | 7710 | Зеленый | 3 | 1
09:31:18 | 7743 | Зеленый | 3 | 1
09:33:46 | 8698 | Красный | 2 | 0
09:33:48 | 8762 | Красный | 2 | 0
09:36:43 | 9974 | Зеленый | 1 | 1
09:38:40 | 10532 | Зеленый | 2 | 1
09:38:41 | 10552 | Зеленый | 2 | 1
09:38:43 | 10707 | Зеленый | 2 | 1
09:38:44 | 10710 | Зеленый | 2 | 1
09:38:45 | 10724 | Зеленый | 2 | 1
09:38:46 | 10726 | Зеленый | 2 | 1
09:41:55 | 11893 | Красный | 4 | 1
09:42:30 | 12132 | Зеленый | 7 | 0
09:42:33 | 12233 | Зеленый | 6 | 1
09:42:33 | 12225 | Зеленый | 4 | 1
09:42:34 | 12230 | Зеленый | 4 | 1
09:42:35 | 12242 | Зеленый | 6 | 1
09:42:37 | 12249 | Зеленый | 6 | 1
09:42:37 | 12246 | Зеленый | 6 | 1
09:42:39 | 12254 | Зеленый | 7 | 1
09:42:39 | 12255 | Зеленый | 7 | 1
09:46:42 | 13998 | Зеленый | 1 | 0
09:47:47 | 14645 | Зеленый | 1 | 0
09:47:49 | 14660 | Зеленый | 2 | 0
09:47:50 | 14668 | Зеленый | 2 | 0
09:50:26 | 15372 | Красный | 2 | 0
09:50:27 | 15594 | Красный | 3 | 0
09:50:27 | 15371 | Красный | 3 | 0
09:50:35 | 15646 | Зеленый | 1 | 0
09:51:10 | 15782 | Зеленый | 2 | 1
