Time | ID | Traffic Light | Group | Vehicles
08:54:20 | 181 | Зеленый | 1 | 0
08:54:32 | 305 | Зеленый | 2 | 0
08:54:35 | 310 | Зеленый | 3 | 1
08:54:35 | 309 | Зеленый | 3 | 1
08:54:37 | 313 | Зеленый | 2 | 0
08:54:40 | 315 | Зеленый | 2 | 0
09:09:19 | 1784 | Зеленый | 1 | 0
09:09:25 | 1814 | Зеленый | 1 | 0
09:12:59 | 2221 | Зеленый | 6 | 0
09:13:13 | 2234 | Зеленый | 6 | 0
09:14:20 | 2324 | Красный | 6 | 0
09:14:25 | 2244 | Красный | 6 | 0
09:14:35 | 2332 | Зеленый | 4 | 0
09:14:35 | 2167 | Зеленый | 4 | 0
09:14:35 | 2348 | Зеленый | 5 | 0
09:14:36 | 2195 | Зеленый | 5 | 0
09:14:36 | 2352 | Зеленый | 6 | 0
09:14:38 | 2345 | Зеленый | 6 | 0
09:14:42 | 2356 | Зеленый | 5 | 0
09:14:42 | 2358 | Зеленый | 6 | 0
09:14:44 | 2365 | Зеленый | 6 | 0
09:14:48 | 2371 | Зеленый | 6 | 0
09:14:49 | 2376 | Зеленый | 6 | 1
09:15:41 | 2461 | Зеленый | 4 | 1
09:15:49 | 2502 | Зеленый | 5 | 1
09:15:52 | 2515 | Зеленый | 6 | 1
09:15:57 | 2529 | Зеленый | 4 | 1
09:16:10 | 2578 | Зеленый | 1 | 2
09:16:18 | 2594 | Зеленый | 2 | 1
09:17:59 | 2779 | Зеленый | 3 | 1
09:18:07 | 2794 | Зеленый | 2 | 1
09:24:55 | 3244 | Зеленый | 1 | 1
09:27:46 | 3627 | Зеленый | 1 | 1
09:36:39 | 4354 | Красный | 4 | 0
09:36:43 | 4510 | Красный | 4 | 0
09:36:44 | 4338 | Красный | 4 | 0
09:36:48 | 4566 | Красный | 4 | 0
09:36:48 | 4565 | Красный | 4 | 0
09:36:48 | 4426 | Красный | 4 | 0
09:36:54 | 4582 | Зеленый | 4 | 0
09:48:28 | 5829 | Зеленый | 1 | 0
09:51:05 | 6127 | Зеленый | 3 | 1
09:53:07 | 6385 | Зеленый | 1 | 1
09:53:16 | 6397 | Зеленый | 2 | 1
09:54:40 | 6586 | Зеленый | 4 | 1
09:54:50 | 6614 | Зеленый | 2 | 1
09:55:45 | 6688 | Зеленый | 2 | 1
10:01:10 | 7252 | Зеленый | 1 | 1
10:01:14 | 7278 | Зеленый | 1 | 1
10:10:22 | 8320 | Красный | 1 | 1
10:12:40 | 8645 | Красный | 3 | 0
10:12:48 | 8671 | Красный | 2 | 0
10:13:35 | 8828 | Зеленый | 2 | 1
10:13:39 | 8840 | Зеленый | 1 | 1
10:13:40 | 8844 | Зеленый | 2 | 1
10:13:50 | 8859 | Зеленый | 2 | 2
10:13:51 | 8860 | Зеленый | 2 | 2
10:16:20 | 9140 | Зеленый | 2 | 1
10:23:50 | 10131 | Зеленый | 1 | 0
10:27:34 | 10448 | Зеленый | 1 | 2
10:31:55 | 10815 | Зеленый | 1 | 1
10:32:43 | 10896 | Зеленый | 2 | 1
10:32:48 | 10889 | Зеленый | 1 | 1
10:32:48 | 10902 | Зеленый | 2 | 1
10:32:55 | 10911 | Зеленый | 2 | 1
10:33:19 | 10990 | Зеленый | 2 | 1
10:33:25 | 11006 | Зеленый | 2 | 1
10:33:27 | 11009 | Зеленый | 3 | 1
10:33:29 | 11015 | Зеленый | 3 | 1
10:36:01 | 11210 | Красный | 1 | 0
10:38:39 | 11594 | Зеленый | 1 | 1
10:39:28 | 11715 | Зеленый | 1 | 1
10:42:23 | 11966 | Зеленый | 1 | 1
10:43:19 | 12083 | Зеленый | 1 | 1
10:46:52 | 12404 | Красный | 1 | 0
10:56:00 | 13600 | Зеленый | 1 | 0
10:57:36 | 13796 | Зеленый | 1 | 1
11:05:57 | 14771 | Красный | 1 | 1
11:06:06 | 14791 | Зеленый | 1 | 0
11:08:03 | 15002 | Зеленый | 1 | 0
11:17:53 | 16129 | Зеленый | 1 | 0
11:17:58 | 16290 | Зеленый | 1 | 0
11:19:37 | 16633 | Зеленый | 1 | 1
11:19:39 | 16652 | Зеленый | 2 | 1
11:19:41 | 16663 | Зеленый | 2 | 1
11:27:20 | 17890 | Зеленый | 1 | 0
11:27:57 | 17940 | Красный | 1 | 0
11:31:43 | 18557 | Зеленый | 3 | 1
11:31:43 | 18529 | Зеленый | 3 | 1
11:31:48 | 18587 | Зеленый | 3 | 1
11:31:48 | 18588 | Зеленый | 4 | 1
11:31:55 | 18603 | Зеленый | 3 | 1
11:31:56 | 18606 | Зеленый | 2 | 0
11:31:59 | 18614 | Зеленый | 2 | 0
11:32:45 | 18677 | Зеленый | 5 | 0
11:32:45 | 18680 | Зеленый | 5 | 0
11:32:50 | 18695 | Зеленый | 4 | 0
11:32:51 | 18692 | Зеленый | 4 | 0
11:32:52 | 18711 | Зеленый | 3 | 0
11:32:52 | 18712 | Зеленый | 4 | 0
11:32:54 | 18720 | Зеленый | 3 | 1
11:32:55 | 18723 | Зеленый | 3 | 0
11:32:57 | 18728 | Зеленый | 4 | 0
11:33:01 | 18735 | Зеленый | 5 | 0
11:39:29 | 19448 | Зеленый | 1 | 1
11:47:19 | 20269 | Зеленый | 5 | 0
11:47:24 | 20280 | Зеленый | 5 | 0
11:49:22 | 20557 | Зеленый | 4 | 0
11:49:23 | 20537 | Зеленый | 4 | 0
11:49:23 | 20533 | Зеленый | 4 | 0
11:49:23 | 20080 | Зеленый | 4 | 0
11:53:15 | 21459 | Зеленый | 4 | 1
11:53:17 | 21482 | Зеленый | 3 | 1
11:53:20 | 21488 | Зеленый | 1 | 1
11:58:04 | 22049 | Зеленый | 1 | 0
12:01:59 | 22659 | Зеленый | 1 | 1
12:04:34 | 23084 | Зеленый | 2 | 2
12:05:50 | 23280 | Зеленый | 1 | 1
12:05:53 | 23287 | Зеленый | 2 | 1
12:13:17 | 24166 | Зеленый | 1 | 1
12:13:53 | 24264 | Зеленый | 1 | 1
12:15:19 | 24433 | Зеленый | 1 | 1
12:18:12 | 24849 | Красный | 2 | 1
