Time | ID | Traffic Light | Group | Vehicles
09:59:07 | 1 | Зеленый | 2 | 2
10:00:00 | 226 | Зеленый | 5 | 2
10:03:05 | 638 | Красный | 3 | 2
10:03:09 | 687 | Красный | 3 | 2
10:03:15 | 697 | Красный | 2 | 1
10:04:30 | 907 | Зеленый | 2 | 0
10:04:30 | 902 | Зеленый | 2 | 0
10:08:21 | 1514 | Зеленый | 2 | 1
10:08:21 | 1566 | Зеленый | 3 | 1
10:08:26 | 1653 | Зеленый | 3 | 2
10:08:33 | 1692 | Зеленый | 3 | 2
10:08:39 | 1717 | Зеленый | 3 | 1
10:08:41 | 1730 | Зеленый | 3 | 1
10:10:34 | 2250 | Красный | 3 | 1
10:10:37 | 2266 | Красный | 3 | 2
10:12:05 | 2515 | Красный | 1 | 1
10:13:43 | 2897 | Зеленый | 5 | 0
10:13:43 | 2883 | Зеленый | 5 | 0
10:13:43 | 2877 | Зеленый | 5 | 0
10:13:47 | 2930 | Зеленый | 5 | 1
10:13:47 | 2907 | Зеленый | 5 | 1
10:13:48 | 2949 | Зеленый | 6 | 1
10:13:50 | 2958 | Зеленый | 4 | 2
10:13:51 | 2959 | Зеленый | 5 | 2
10:13:55 | 2974 | Зеленый | 4 | 1
10:14:05 | 2989 | Зеленый | 3 | 1
10:14:07 | 2990 | Зеленый | 4 | 1
10:15:50 | 3379 | Зеленый | 3 | 2
10:15:51 | 3365 | Зеленый | 2 | 2
10:18:21 | 3772 | Зеленый | 2 | 1
10:18:33 | 3802 | Зеленый | 2 | 1
10:22:03 | 4202 | Красный | 2 | 1
10:22:04 | 4201 | Красный | 2 | 1
10:25:24 | 4765 | Зеленый | 1 | 2
10:25:44 | 4821 | Зеленый | 2 | 2
10:25:45 | 4874 | Зеленый | 2 | 1
10:25:46 | 4884 | Зеленый | 3 | 2
10:25:47 | 4886 | Зеленый | 4 | 2
10:25:48 | 4888 | Зеленый | 3 | 2
10:25:49 | 4897 | Зеленый | 2 | 1
10:25:50 | 4907 | Зеленый | 3 | 1
10:30:42 | 5516 | Красный | 1 | 2
10:32:28 | 5868 | Зеленый | 6 | 0
10:32:29 | 5874 | Зеленый | 6 | 1
10:32:29 | 5849 | Зеленый | 6 | 1
10:32:44 | 5906 | Зеленый | 3 | 0
10:32:44 | 5907 | Зеленый | 4 | 0
10:32:45 | 5910 | Зеленый | 6 | 0
10:32:45 | 5909 | Зеленый | 6 | 0
10:32:46 | 5913 | Зеленый | 5 | 0
10:32:49 | 5905 | Зеленый | 5 | 0
10:32:51 | 5920 | Зеленый | 5 | 0
10:32:52 | 5924 | Зеленый | 6 | 0
10:32:52 | 5923 | Зеленый | 6 | 0
10:32:54 | 5927 | Зеленый | 6 | 0
10:36:07 | 6644 | Зеленый | 4 | 1
10:36:08 | 6537 | Зеленый | 4 | 1
10:36:08 | 6669 | Зеленый | 4 | 1
10:36:09 | 6659 | Зеленый | 4 | 1
10:36:12 | 6722 | Зеленый | 4 | 2
10:36:43 | 6859 | Зеленый | 3 | 2
10:41:32 | 7669 | Зеленый | 1 | 0
10:42:24 | 7904 | Зеленый | 2 | 1
10:42:33 | 7947 | Зеленый | 2 | 1
10:42:42 | 7985 | Зеленый | 2 | 1
10:44:36 | 8363 | Зеленый | 1 | 1
10:50:04 | 9030 | Красный | 1 | 0
10:55:31 | 9957 | Зеленый | 2 | 1
10:56:37 | 10202 | Зеленый | 2 | 1
10:56:41 | 10216 | Зеленый | 2 | 2
10:56:42 | 10225 | Зеленый | 1 | 2
10:56:43 | 10230 | Зеленый | 1 | 2
10:56:51 | 10252 | Зеленый | 2 | 2
10:56:57 | 10266 | Зеленый | 2 | 1
11:08:13 | 11632 | Красный | 5 | 2
11:08:19 | 11675 | Красный | 6 | 2
11:08:23 | 11678 | Красный | 6 | 2
11:08:23 | 11637 | Красный | 6 | 2
11:08:52 | 11719 | Красный | 5 | 1
11:08:56 | 11735 | Красный | 6 | 1
11:10:02 | 11830 | Зеленый | 4 | 0
11:10:11 | 11849 | Зеленый | 2 | 0
11:10:12 | 11856 | Зеленый | 3 | 0
11:10:16 | 11859 | Зеленый | 2 | 0
11:10:18 | 11860 | Зеленый | 1 | 0
11:10:18 | 11861 | Зеленый | 2 | 0
11:10:19 | 11863 | Зеленый | 3 | 0
11:10:22 | 11864 | Зеленый | 2 | 0
11:10:24 | 11865 | Зеленый | 2 | 0
11:23:07 | 13325 | Зеленый | 6 | 2
11:23:33 | 13461 | Зеленый | 3 | 3
11:24:08 | 13525 | Зеленый | 2 | 2
11:25:26 | 13723 | Зеленый | 3 | 2
11:25:28 | 13726 | Зеленый | 2 | 3
11:25:28 | 13727 | Зеленый | 3 | 3
11:35:35 | 15612 | Красный | 1 | 1
11:36:13 | 15666 | Красный | 1 | 1
11:38:46 | 15852 | Зеленый | 3 | 0
11:38:46 | 15849 | Зеленый | 3 | 0
11:38:47 | 15685 | Зеленый | 3 | 0
11:39:11 | 16138 | Зеленый | 3 | 0
11:39:56 | 16321 | Зеленый | 3 | 1
11:39:56 | 16316 | Зеленый | 3 | 1
11:40:00 | 16340 | Зеленый | 3 | 0
11:40:06 | 16368 | Зеленый | 2 | 1
11:40:16 | 16401 | Зеленый | 3 | 2
11:40:23 | 16426 | Зеленый | 2 | 1
11:40:25 | 16442 | Зеленый | 2 | 2
11:40:27 | 16451 | Зеленый | 3 | 2
11:40:57 | 16551 | Зеленый | 2 | 1
11:42:04 | 16798 | Зеленый | 2 | 2
11:42:07 | 16812 | Зеленый | 3 | 2
11:42:34 | 16902 | Зеленый | 1 | 2
11:43:30 | 17074 | Зеленый | 5 | 1
11:43:38 | 17108 | Зеленый | 4 | 1
11:43:38 | 17107 | Зеленый | 4 | 1
11:43:38 | 17106 | Зеленый | 4 | 1
11:43:41 | 17115 | Зеленый | 5 | 1
11:43:49 | 17143 | Зеленый | 4 | 1
11:48:31 | 17707 | Зеленый | 3 | 0
11:48:31 | 17628 | Зеленый | 3 | 0
11:48:51 | 18036 | Зеленый | 2 | 2
11:55:10 | 18977 | Красный | 5 | 0
11:55:11 | 18995 | Красный | 5 | 0
11:55:16 | 19000 | Красный | 6 | 0
11:55:16 | 19001 | Красный | 7 | 0
11:55:17 | 18999 | Красный | 6 | 0
11:55:18 | 19003 | Красный | 6 | 0
11:55:20 | 19005 | Красный | 6 | 0
11:55:23 | 19010 | Красный | 8 | 0
11:55:26 | 19020 | Красный | 7 | 0
11:55:27 | 19021 | Красный | 7 | 0
11:55:51 | 19096 | Красный | 6 | 2
11:55:51 | 19036 | Красный | 6 | 2
11:57:13 | 19351 | Зеленый | 5 | 1
11:57:14 | 19317 | Зеленый | 5 | 1
11:57:18 | 18991 | Зеленый | 5 | 1
11:57:18 | 19412 | Зеленый | 5 | 1
11:57:19 | 19118 | Зеленый | 5 | 1
11:57:21 | 19421 | Зеленый | 6 | 1
11:57:32 | 19429 | Зеленый | 5 | 1
11:57:46 | 19459 | Зеленый | 6 | 1
11:57:53 | 19508 | Зеленый | 5 | 1
11:59:32 | 19807 | Зеленый | 1 | 2
12:00:10 | 19980 | Зеленый | 2 | 2
12:00:12 | 19985 | Зеленый | 2 | 1
12:00:26 | 20024 | Зеленый | 1 | 1
12:02:24 | 20397 | Зеленый | 2 | 2
12:03:39 | 20747 | Красный | 1 | 2
12:08:18 | 21344 | Зеленый | 1 | 3
12:15:32 | 21980 | Зеленый | 3 | 3
12:15:37 | 22134 | Зеленый | 4 | 4
12:15:38 | 22419 | Зеленый | 4 | 3
12:15:38 | 22011 | Зеленый | 4 | 3
12:15:43 | 22449 | Зеленый | 4 | 2
12:15:45 | 22466 | Зеленый | 5 | 2
12:15:46 | 22469 | Зеленый | 5 | 2
12:15:46 | 22470 | Зеленый | 5 | 2
12:15:47 | 22473 | Зеленый | 6 | 2
12:15:49 | 22478 | Зеленый | 5 | 1
12:15:52 | 22490 | Зеленый | 5 | 1
12:15:53 | 22499 | Зеленый | 6 | 1
12:15:55 | 22509 | Зеленый | 4 | 1
12:15:56 | 22511 | Зеленый | 5 | 0
12:15:57 | 22518 | Зеленый | 5 | 0
12:15:57 | 22521 | Зеленый | 4 | 1
12:15:58 | 22522 | Зеленый | 5 | 1
12:15:59 | 22525 | Зеленый | 6 | 1
12:15:59 | 22527 | Зеленый | 7 | 1
12:16:00 | 22528 | Зеленый | 6 | 1
12:16:08 | 22565 | Зеленый | 4 | 1
12:16:14 | 22587 | Зеленый | 4 | 2
12:16:30 | 22645 | Зеленый | 2 | 1
12:20:40 | 23533 | Зеленый | 1 | 4
12:21:27 | 23673 | Зеленый | 2 | 2
12:22:27 | 23792 | Красный | 2 | 2
12:24:47 | 23951 | Зеленый | 3 | 0
12:24:47 | 23899 | Зеленый | 3 | 0
12:24:58 | 23913 | Зеленый | 3 | 0
12:25:02 | 24116 | Зеленый | 4 | 0
12:29:18 | 24991 | Зеленый | 1 | 0
12:32:57 | 25371 | Красный | 4 | 0
12:33:54 | 25353 | Зеленый | 3 | 1
12:33:55 | 25420 | Зеленый | 3 | 0
12:33:56 | 25396 | Зеленый | 3 | 0
12:33:58 | 25657 | Зеленый | 4 | 0
12:34:03 | 25660 | Зеленый | 3 | 0
12:34:04 | 25664 | Зеленый | 3 | 0
12:34:05 | 25667 | Зеленый | 4 | 0
12:34:06 | 25669 | Зеленый | 3 | 0
12:34:14 | 25672 | Зеленый | 6 | 0
12:34:27 | 25729 | Зеленый | 5 | 0
12:34:28 | 25734 | Зеленый | 4 | 0
12:34:44 | 25748 | Зеленый | 2 | 0
12:43:09 | 26461 | Зеленый | 1 | 0
12:43:21 | 26773 | Зеленый | 1 | 0
12:44:33 | 26942 | Зеленый | 1 | 1
12:48:50 | 27548 | Зеленый | 1 | 1
12:52:06 | 27683 | Зеленый | 2 | 0
12:52:07 | 27904 | Зеленый | 2 | 0
12:52:08 | 27908 | Зеленый | 3 | 0
12:52:16 | 27923 | Зеленый | 4 | 0
12:52:17 | 27928 | Зеленый | 3 | 0
12:52:18 | 27931 | Зеленый | 4 | 0
12:52:47 | 27993 | Зеленый | 1 | 1
12:54:21 | 28279 | Зеленый | 1 | 3
12:54:27 | 28318 | Зеленый | 3 | 2
12:54:31 | 28338 | Зеленый | 2 | 3
12:54:34 | 28352 | Зеленый | 4 | 2
12:54:34 | 28347 | Зеленый | 3 | 2
12:54:41 | 28389 | Зеленый | 4 | 3
12:54:43 | 28395 | Зеленый | 5 | 2
12:54:59 | 28474 | Зеленый | 2 | 3
12:55:04 | 28497 | Зеленый | 1 | 3
12:56:31 | 28710 | Зеленый | 1 | 2
13:01:15 | 29399 | Зеленый | 1 | 1
13:01:18 | 29440 | Зеленый | 2 | 3
13:01:29 | 29471 | Зеленый | 4 | 0
13:01:29 | 29472 | Зеленый | 5 | 0
13:01:33 | 29485 | Зеленый | 3 | 0
13:01:34 | 29487 | Зеленый | 5 | 0
13:01:36 | 29454 | Зеленый | 3 | 0
13:01:38 | 29495 | Зеленый | 3 | 0
13:05:55 | 30147 | Зеленый | 1 | 1
13:10:24 | 30494 | Зеленый | 2 | 0
13:10:27 | 30591 | Зеленый | 2 | 1
13:10:42 | 30685 | Зеленый | 2 | 0
13:13:14 | 31043 | Зеленый | 1 | 1
13:13:18 | 31057 | Зеленый | 1 | 1
13:14:08 | 31162 | Зеленый | 1 | 1
13:14:17 | 31178 | Зеленый | 2 | 1
13:14:19 | 31185 | Зеленый | 2 | 1
13:16:03 | 31457 | Зеленый | 2 | 1
13:16:15 | 31495 | Красный | 4 | 2
13:16:18 | 31511 | Красный | 4 | 1
13:17:34 | 31649 | Красный | 3 | 1
13:17:35 | 31681 | Красный | 5 | 1
13:17:36 | 31682 | Красный | 6 | 0
13:19:19 | 31851 | Красный | 3 | 0
13:19:37 | 32052 | Зеленый | 3 | 0
13:19:45 | 32080 | Зеленый | 2 | 0
13:19:49 | 32093 | Зеленый | 3 | 1
13:21:26 | 32447 | Зеленый | 1 | 2
13:21:43 | 32585 | Зеленый | 2 | 2
13:28:29 | 33837 | Красный | 5 | 1
13:28:35 | 33985 | Красный | 5 | 1
13:28:36 | 33834 | Красный | 5 | 1
13:28:37 | 33991 | Красный | 6 | 1
13:28:39 | 33999 | Зеленый | 6 | 1
13:28:41 | 34007 | Зеленый | 5 | 1
13:28:45 | 34020 | Зеленый | 6 | 1
13:28:46 | 34024 | Зеленый | 7 | 1
13:28:46 | 34012 | Зеленый | 6 | 1
13:28:47 | 34029 | Зеленый | 7 | 1
13:28:48 | 34034 | Зеленый | 6 | 1
13:28:48 | 34036 | Зеленый | 7 | 1
13:28:48 | 34014 | Зеленый | 6 | 1
13:28:49 | 34023 | Зеленый | 6 | 1
13:28:49 | 33575 | Зеленый | 5 | 1
13:28:50 | 34041 | Зеленый | 6 | 1
13:28:51 | 34049 | Зеленый | 6 | 1
13:28:52 | 34052 | Зеленый | 5 | 1
13:28:53 | 34058 | Зеленый | 7 | 1
13:28:55 | 34065 | Зеленый | 5 | 1
13:28:55 | 34071 | Зеленый | 6 | 1
13:28:55 | 34072 | Зеленый | 7 | 1
13:28:57 | 34077 | Зеленый | 8 | 1
13:28:58 | 34081 | Зеленый | 10 | 1
13:28:58 | 34080 | Зеленый | 10 | 1
13:28:58 | 34082 | Зеленый | 9 | 1
13:29:00 | 34090 | Зеленый | 6 | 1
13:29:00 | 34091 | Зеленый | 6 | 1
13:29:02 | 34099 | Зеленый | 7 | 0
13:29:02 | 34098 | Зеленый | 7 | 0
13:29:02 | 34101 | Зеленый | 9 | 0
13:29:03 | 34113 | Зеленый | 6 | 0
13:29:04 | 34124 | Зеленый | 7 | 0
13:29:05 | 34129 | Зеленый | 7 | 0
13:29:05 | 34133 | Зеленый | 6 | 0
13:29:05 | 34134 | Зеленый | 8 | 0
13:29:06 | 34140 | Зеленый | 6 | 0
13:29:12 | 34182 | Зеленый | 4 | 1
13:29:14 | 34198 | Зеленый | 7 | 0
13:29:57 | 34417 | Зеленый | 1 | 1
13:32:12 | 34855 | Зеленый | 1 | 1
13:35:13 | 35447 | Красный | 2 | 1
13:36:28 | 35607 | Красный | 4 | 1
13:36:35 | 35629 | Красный | 5 | 1
13:36:52 | 35559 | Красный | 4 | 1
13:36:57 | 35736 | Красный | 5 | 1
