Time | ID | Traffic Light | Group | Vehicles
14:13:19 | 35 | Зеленый | 1 | 0
14:25:41 | 201 | Зеленый | 2 | 0
14:25:49 | 203 | Зеленый | 2 | 0
14:26:35 | 218 | Зеленый | 1 | 0
14:27:23 | 224 | Зеленый | 1 | 0
14:35:14 | 377 | Зеленый | 1 | 0
14:51:21 | 642 | Зеленый | 3 | 0
14:51:22 | 636 | Зеленый | 2 | 0
14:53:03 | 727 | Зеленый | 1 | 0
15:26:59 | 1488 | Красный | 1 | 0
15:27:02 | 1492 | Красный | 1 | 0
15:28:10 | 1559 | Красный | 2 | 0
15:28:11 | 1562 | Красный | 2 | 0
15:41:16 | 1848 | Зеленый | 1 | 0
15:43:53 | 1967 | Красный | 1 | 0
15:43:55 | 1970 | Красный | 1 | 0
15:55:19 | 2297 | Зеленый | 1 | 0
15:55:53 | 2324 | Зеленый | 1 | 0
16:13:47 | 2903 | Зеленый | 1 | 0
16:14:49 | 3005 | Зеленый | 3 | 0
16:15:20 | 3054 | Зеленый | 2 | 0
16:15:27 | 3060 | Зеленый | 2 | 0
16:15:28 | 3061 | Зеленый | 2 | 0
16:16:32 | 3095 | Зеленый | 4 | 0
16:25:45 | 3327 | Зеленый | 3 | 0
16:25:47 | 3379 | Зеленый | 4 | 0
16:25:50 | 3361 | Зеленый | 3 | 0
16:25:51 | 3382 | Зеленый | 3 | 0
16:25:52 | 3383 | Зеленый | 3 | 0
16:25:54 | 3381 | Зеленый | 2 | 0
16:25:55 | 3386 | Зеленый | 2 | 0
16:25:56 | 3388 | Зеленый | 3 | 0
16:25:56 | 3389 | Зеленый | 4 | 0
16:25:58 | 3394 | Зеленый | 4 | 0
16:25:59 | 3395 | Зеленый | 3 | 0
16:26:01 | 3397 | Зеленый | 3 | 0
16:26:01 | 3399 | Зеленый | 3 | 0
16:26:03 | 3402 | Зеленый | 3 | 0
16:26:03 | 3404 | Зеленый | 2 | 0
16:26:06 | 3406 | Зеленый | 2 | 0
16:26:07 | 3407 | Зеленый | 2 | 0
16:26:09 | 3409 | Зеленый | 3 | 0
16:27:20 | 3437 | Зеленый | 1 | 0
16:34:54 | 3633 | Зеленый | 1 | 1
16:39:25 | 3828 | Красный | 1 | 0
16:46:04 | 4034 | Зеленый | 1 | 1
16:47:05 | 4051 | Красный | 1 | 1
16:53:27 | 4306 | Зеленый | 1 | 0
16:58:18 | 4464 | Зеленый | 1 | 0
16:58:50 | 4520 | Зеленый | 2 | 0
17:08:50 | 4874 | Зеленый | 1 | 1
17:14:14 | 5020 | Красный | 1 | 1
17:26:35 | 5693 | Зеленый | 2 | 1
17:26:39 | 5697 | Зеленый | 2 | 1
17:26:41 | 5701 | Зеленый | 4 | 1
17:29:23 | 5846 | Зеленый | 2 | 1
17:29:24 | 5847 | Зеленый | 2 | 1
17:40:14 | 6452 | Красный | 1 | 1
17:43:18 | 6504 | Зеленый | 2 | 0
17:43:26 | 6603 | Зеленый | 2 | 0
17:46:19 | 6850 | Зеленый | 1 | 1
17:51:17 | 7044 | Красный | 2 | 0
17:51:17 | 7038 | Красный | 2 | 0
17:54:17 | 7223 | Зеленый | 1 | 1
17:56:17 | 7404 | Зеленый | 4 | 1
17:56:23 | 7415 | Зеленый | 2 | 1
17:56:27 | 7431 | Зеленый | 5 | 1
17:57:01 | 7494 | Зеленый | 4 | 1
18:07:50 | 8025 | Красный | 1 | 0
18:15:56 | 8488 | Красный | 1 | 1
18:15:58 | 8489 | Красный | 1 | 1
18:18:44 | 8591 | Зеленый | 2 | 1
18:18:51 | 8537 | Зеленый | 2 | 1
18:23:57 | 8895 | Зеленый | 3 | 1
18:24:39 | 8910 | Красный | 2 | 1
18:25:42 | 8971 | Красный | 1 | 1
18:25:52 | 9028 | Красный | 2 | 0
18:25:53 | 9042 | Красный | 4 | 0
18:25:55 | 9048 | Красный | 2 | 0
18:25:58 | 9053 | Красный | 1 | 0
18:34:35 | 9483 | Красный | 1 | 1
18:34:35 | 9496 | Красный | 1 | 1
18:34:37 | 9498 | Красный | 2 | 1
18:34:37 | 9501 | Красный | 3 | 1
18:34:44 | 9495 | Красный | 1 | 1
18:34:45 | 9514 | Красный | 2 | 1
18:34:45 | 9516 | Красный | 2 | 1
18:36:53 | 9664 | Зеленый | 1 | 0
18:38:37 | 9917 | Зеленый | 2 | 1
18:38:38 | 9919 | Зеленый | 2 | 1
18:38:42 | 9925 | Зеленый | 2 | 2
18:38:46 | 9935 | Зеленый | 1 | 1
18:38:50 | 9938 | Зеленый | 1 | 1
18:38:59 | 9946 | Зеленый | 1 | 1
18:45:23 | 10269 | Зеленый | 1 | 0
18:47:23 | 10422 | Зеленый | 1 | 1
18:53:59 | 10945 | Зеленый | 2 | 0
18:54:02 | 10955 | Зеленый | 3 | 0
18:54:03 | 10839 | Зеленый | 3 | 0
18:55:55 | 11116 | Зеленый | 2 | 1
18:55:57 | 11126 | Зеленый | 2 | 1
18:56:02 | 11127 | Зеленый | 2 | 1
18:56:11 | 11128 | Зеленый | 1 | 1
18:56:14 | 11130 | Зеленый | 2 | 1
18:56:22 | 11131 | Зеленый | 2 | 1
19:06:43 | 12060 | Зеленый | 2 | 0
19:06:44 | 12063 | Зеленый | 2 | 0
19:11:44 | 12267 | Зеленый | 1 | 0
19:13:01 | 12611 | Зеленый | 1 | 0
19:15:01 | 12869 | Зеленый | 1 | 0
19:20:15 | 13149 | Зеленый | 1 | 0
19:22:08 | 13358 | Зеленый | 1 | 1
19:22:08 | 13360 | Зеленый | 1 | 1
19:22:10 | 13364 | Зеленый | 1 | 1
19:22:11 | 13366 | Зеленый | 2 | 1
19:22:11 | 13368 | Зеленый | 2 | 1
19:22:15 | 13376 | Зеленый | 2 | 1
19:22:21 | 13384 | Зеленый | 2 | 1
